Semestre,Exposición,Nivel,Clon,Transpiración,Uso eficiente del agua,ALTURA / PLANTA (cm) ,No TOTAL RAMAS,Área de copa (A) =m2,pH,P,K,CICE,CE,%Ar,%L,% Poros,Peso Almendras (gr) 
2017-1,SOL,50,SCC19,"1,9997595838217288","3,530049699771704","221,66666666666663","2,0","7,08394148","4,63","8,32392581375791","0,1692562304","5,769418340061848","0,1855268","26,3","35,2","40,28122605363985","128,8521739130435"
2017-1,SOL,50,SCC52,"2,7645790204326475","3,037772938329772","256,0","2,0","10,68761848","4,63","8,32392581375791","0,1692562304","5,769418340061848","0,1855268","26,3","35,2","40,28122605363985","171,885"
2017-1,SOL,50,SCC61,"3,795155317999073","3,0825461799721765","261,3333333333333","2,1666666666666665","10,23182468","4,63","8,32392581375791","0,1692562304","5,769418340061848","0,1855268","26,3","35,2","40,28122605363985","182,73538461538465"
2017-1,SOL,50,SCC64,"2,5794550439401673","3,4929117378537917","252,5","2,0","8,78171448","4,63","8,32392581375791","0,1692562304","5,769418340061848","0,1855268","26,3","35,2","40,28122605363985","90,84769230769231"
2017-1,SOL,50,SCC83,"3,9876247882776914","3,1246052430415423","251,16666666666663","2,0","9,30814192","4,63","8,32392581375791","0,1692562304","5,769418340061848","0,1855268","26,3","35,2","40,28122605363985","92,125"
2017-1,SOL,50,TSH565,"3,179602911802165","3,220326838379082","233,33333333333331","2,0","8,500881620000001","4,63","8,32392581375791","0,1692562304","5,769418340061848","0,1855268","26,3","35,2","40,28122605363985","168,61526315789473"
2017-2,SOL,50,SCC19,"1,9997595838217288","3,530049699771704","232,33333333333331","2,1666666666666665","8,314139680000002","4,63","8,32392581375791","0,1692562304","5,769418340061848","0,1855268","26,3","35,2","40,28122605363985","84,7"
2017-2,SOL,50,SCC64,"2,5794550439401673","3,4929117378537917","239,66666666666663","1,8333333333333333","8,39257496","4,63","8,32392581375791","0,1692562304","5,769418340061848","0,1855268","26,3","35,2","40,28122605363985","122,425"
2017-2,SOL,50,SCC83,"3,9876247882776914","3,1246052430415423","261,1666666666667","2,0","11,634077839999998","4,63","8,32392581375791","0,1692562304","5,769418340061848","0,1855268","26,3","35,2","40,28122605363985","170,74"
2015-2,SOL,100,CCN51,"1,1333333333333335","2,9374106992052518","229,66666666666663","2,5","5,523037519999999","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","171,09124999999997"
2015-2,SOL,100,ICS95,"1,843333333333333","2,04537071305206","220,33333333333331","2,6666666666666665","5,47968344","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","31,27"
2015-2,SOL,100,SCC19,"1,57","2,5418557327317006","181,5","2,5","3,5760571000000003","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","87,86749999999998"
2015-2,SOL,100,SCC52,"2,1","1,7093705453731216","208,5","2,833333333333333","5,78949756","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","94,35799999999999"
2015-2,SOL,100,SCC61,"1,45","1,5039772727272729","194,66666666666663","2,1666666666666665","4,43499672","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","140,67285714285714"
2015-2,SOL,100,SCC64,"2,0900000000000003","1,7032279524407758","233,16666666666663","2,5","6,303620400000001","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","59,084285714285706"
2015-2,SOL,100,SCC83,"1,4966666666666668","1,8467535959134287","188,83333333333331","2,333333333333333","4,5963964200000005","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","69,00500000000001"
2015-2,SOL,100,TSH565,"1,57","3,2265861707800965","182,5","2,5","4,29058784","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","91,5756"
2016-1,SOL,100,CCN51,"1,8633333333333333","1,8365267236346263","241,66666666666663","2,5","6,80473178","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","153,24"
2016-1,SOL,100,SCC52,"1,5766666666666669","1,7410140679053043","226,33333333333331","2,6666666666666665","6,61589544","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","55,93"
2016-1,SOL,100,SCC61,"2,2133333333333334","1,5857199442938783","209,66666666666663","2,1666666666666665","5,6240399599999975","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","92,0"
2016-1,SOL,100,SCC83,"1,7933333333333332","2,1845105678106416","202,0","2,333333333333333","5,25409038","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","55,64923076923078"
2016-1,SOL,100,TSH565,"2,14","2,342978320654309","195,83333333333331","2,5","5,20767324","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","88,01"
2016-2,SOL,100,CCN51,"1,8633333333333333","1,8365267236346263","273,1666666666667","2,333333333333333","9,04589686","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","197,86066666666667"
2016-2,SOL,100,SCC19,"1,7266666666666666","1,586718398560504","206,0","2,0","5,370355759999999","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","151,11214285714286"
2016-2,SOL,100,SCC52,"1,5766666666666669","1,7410140679053043","250,83333333333331","2,5","7,63201978","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","135,42"
2016-2,SOL,100,SCC61,"2,2133333333333334","1,5857199442938783","226,66666666666663","2,0","6,1827997","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","214,44"
2016-2,SOL,100,SCC64,"2,18","2,2916867076022296","256,8333333333333","2,1666666666666665","7,1863838200000005","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","97,52199999999998"
2016-2,SOL,100,SCC83,"1,7933333333333332","2,1845105678106416","221,33333333333331","2,0","5,63574242","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","92,11"
2016-2,SOL,100,TSH565,"2,14","2,342978320654309","222,16666666666663","2,1666666666666665","6,95623544","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","145,57285714285715"
2017-1,SOL,100,CCN51,"3,3158572241548616","3,241759690979276","281,6666666666667","2,333333333333333","10,77867252","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","171,60588235294114"
2017-1,SOL,100,EET8,"4,001530456980325","3,141292161171989","244,33333333333331","2,0","7,2611015399999985","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","210,85"
2017-1,SOL,100,ICS1,"3,4388284877486384","3,3770250375144304","244,83333333333331","2,1666666666666665","7,937723639999999","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","291,2"
2017-1,SOL,100,ICS95,"2,6898439118201356","3,859236339304061","283,0","2,1666666666666665","11,3185303","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","76,62959999999998"
2017-1,SOL,100,SCC19,"2,6939220963021566","3,5231446196708767","235,66666666666663","2,0","7,852481560000001","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","134,00666666666663"
2017-1,SOL,100,SCC52,"3,426345396637935","3,2853738717394734","272,3333333333333","2,1666666666666665","10,62769246","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","168,46"
2017-1,SOL,100,SCC61,"3,005058116135491","3,5203768716545425","233,66666666666663","2,1666666666666665","8,547377299999999","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","177,87714285714284"
2017-1,SOL,100,SCC64,"2,8346159679552088","3,848898551662438","256,3333333333333","2,0","8,35956198","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","69,32"
2017-1,SOL,100,SCC83,"4,264586315305755","2,9605054630186944","242,83333333333331","1,8333333333333333","7,2528810199999985","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","87,30999999999997"
2017-1,SOL,100,TSH565,"3,8697526156199817","2,9095577457321737","222,33333333333331","2,0","9,22174792","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","129,928"
2017-2,SOL,100,ICS1,"3,4388284877486384","3,3770250375144304","258,8333333333333","2,333333333333333","11,61177248","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","221,85"
2017-2,SOL,100,SCC19,"2,6939220963021566","3,5231446196708767","254,16666666666663","2,1666666666666665","9,44189554","4,967999999999999","8,716885251526053","0,1898422056","4,588017158748691","0,18081352","25,2","40,7","37,912663494058854","99,31"
2015-2,SOL,150,CCN51,"1,7533333333333332","1,6582683692827649","210,16666666666663","2,6666666666666665","5,64914658","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","140,73538461538462"
2015-2,SOL,150,ICS95,"1,586666666666667","1,22654756062187","243,0","2,0","7,29175832","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","67,63666666666667"
2015-2,SOL,150,SCC19,"3,17","0,5781200063918186","205,33333333333331","2,5","4,9368411399999985","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","73,95"
2015-2,SOL,150,SCC52,"2,3666666666666667","1,925911277517036","186,66666666666663","2,5","3,47871986","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","119,148"
2015-2,SOL,150,SCC61,"1,923333333333333","1,4720165330553243","208,66666666666663","2,833333333333333","5,52138818","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","122,88"
2015-2,SOL,150,SCC64,"1,825","1,8803982077442487","234,66666666666663","2,6666666666666665","7,496250299999999","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","66,50702702702704"
2015-2,SOL,150,SCC83,"2,0866666666666664","2,0624089558056693","203,33333333333331","2,0","3,80452996","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","29,2"
2015-2,SOL,150,TSH565,"2,7","2,0766917594930443","207,16666666666663","2,1666666666666665","4,706064440000001","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","105,20681818181816"
2016-1,SOL,150,ICS1,"1,856666666666667","1,940629370629371","206,5","2,0","3,659964","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","74,33333333333333"
2016-1,SOL,150,ICS95,"1,9633333333333327","2,0287603400705305","220,0","2,0","6,623278200000001","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","54,60833333333335"
2016-1,SOL,150,SCC19,"1,4533333333333331","3,147046191751715","220,16666666666663","2,333333333333333","6,314642179999999","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","73,69000000000003"
2016-1,SOL,150,SCC52,"1,5266666666666666","3,773047861622727","217,33333333333331","2,333333333333333","7,29945524","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","117,0"
2016-1,SOL,150,SCC61,"2,183333333333333","2,145693220136526","194,0","2,6666666666666665","7,230078240000001","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","52,0"
2016-1,SOL,150,SCC64,"2,186666666666667","2,9441515584643536","256,5","2,5","10,06678596","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","82,73666666666666"
2016-1,SOL,150,SCC83,"2,11","3,0092288358500405","223,66666666666663","2,1666666666666665","6,43747874","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","57,10333333333333"
2016-2,SOL,150,CCN51,"1,88","2,4459890690672634","260,8333333333333","2,333333333333333","8,431007199999998","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","197,1842857142857"
2016-2,SOL,150,EET8,"1,7133333333333336","2,2679806160919376","255,83333333333331","2,1666666666666665","7,71987986","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","164,88"
2016-2,SOL,150,ICS1,"1,856666666666667","1,940629370629371","230,66666666666663","2,333333333333333","5,02860204","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","120,5275"
2016-2,SOL,150,SCC19,"1,4533333333333331","3,147046191751715","252,16666666666663","2,0","6,92515978","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","150,15"
2016-2,SOL,150,SCC52,"1,5266666666666666","3,773047861622727","250,33333333333331","2,0","7,390299840000001","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","182,675"
2016-2,SOL,150,SCC61,"2,183333333333333","2,145693220136526","244,5","2,1666666666666665","8,185281719999999","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","188,8675"
2016-2,SOL,150,SCC64,"2,186666666666667","2,9441515584643536","277,5","2,0","7,3718167600000015","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","91,69642857142857"
2016-2,SOL,150,SCC83,"2,11","3,0092288358500405","256,6666666666667","2,0","7,876802780000001","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","66,73125"
2016-2,SOL,150,TSH565,"2,02","1,6671402112775493","209,33333333333331","2,0","5,15803596","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","156,50799999999995"
2017-1,SOL,150,CCN51,"2,7004508177636968","3,2579626097213685","274,1666666666667","2,333333333333333","9,78179048","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","188,71375000000003"
2017-1,SOL,150,EET8,"2,7296752221374447","3,2809733468465216","262,8333333333333","2,0","9,69817156","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","170,055"
2017-1,SOL,150,ICS1,"3,041606717130891","3,3725369010224724","250,0","2,1666666666666665","6,78525386","4,916","7,998345513559793","0,2209251704","5,35349549887534","0,20412648","27,0","31,0","42,87565186408835","164,45800000000003"
